Date,Location,Item Name,Item Type,Notes
2022-08-27,Canyon of the Magi,Cleglaw's Claw,Small Shield,
2022-08-28,Flayer Dungeon,Steelgoad,Voulge,
2022-08-28,Outer Steppes,Berserker's Hatchet,Double Axe,
2022-08-29,Chaos Sanctuary,Goblin Toe,Light Plated Boots,
2022-08-29,Chaos Sanctuary,Shadowfang,Two-Handed Sword,
2022-08-29,Chaos Sanctuary,Soulflay,Claymore,
2022-08-29,Chaos Sanctuary,Berserker's Hatchet,Double Axe,
2022-08-29,Chaos Sanctuary,Death's Touch,War Sword,
2022-08-29,Chaos Sanctuary,Sigon's Wrap,Plated Belt,
2022-08-30,Chaos Sanctuary,Cleglaw's Tooth,Long Sword,
2022-08-30,Chaos Sanctuary,Civerb's Ward,Large Shield,
2022-08-30,Chaos Sanctuary,Cleglaw's Pincers,Chain Gloves,
2022-08-30,Chaos Sanctuary,Skull Splitter,Military Pick,
2022-08-31,Chaos Sanctuary,Gleamscythe,Falchion,
2022-08-31,Chaos Sanctuary,Nightsmoke,Belt,
2022-09-01,Chaos Sanctuary,Cathan's Rule,Battle Staff,
2022-09-01,Chaos Sanctuary,Sigon's Sabot,Greaves,
2022-09-01,Chaos Sanctuary,Rogue's Bow,Composite Bow,
2022-09-01,Chaos Sanctuary,Sigon's Shelter,Gothic Plate,
2022-09-01,Chaos Sanctuary,Milabrega's Diadem,Crown,
2022-09-01,Chaos Sanctuary,Isenhart's Case,Breast Plate,
2022-09-01,Chaos Sanctuary,Skewer of Krintiz,Sabre,
2022-09-01,Chaos Sanctuary,Cathan's Seal,Ring,
2022-09-01,Chaos Sanctuary,Tancred's Crowbill,Military Pick,
2022-09-01,Chaos Sanctuary,Twitchthroe,Studded Leather,
2022-09-01,Chaos Sanctuary,The Jade Tan Do,Kris,
2022-09-01,Chaos Sanctuary,Tancred's Skull,Bone Helm,
2022-09-01,Chaos Sanctuary,Cleglaw's Tooth,Long Sword,
2022-09-01,Chaos Sanctuary,Raven Claw,Long Bow,
2022-09-03,Catacombs Level 4,Stormstrike,Short Battle Bow,
2022-09-03,Durance of Hate Level 3,Cleglaw's Pincers,Chain Gloves,
2022-09-03,River of Flame,Gravenspine,Bone Wand,
2022-09-03,Chaos Sanctuary,Bladebuckle,Plated Belt,
2022-09-03,Chaos Sanctuary,Sigon's Sabot,Greaves,
2022-09-04,Chaos Sanctuary,Brainhew,Great Axe,
2022-09-04,Chaos Sanctuary,Isenhart's Parry,Gothic Shield,
2022-09-04,Chaos Sanctuary,Cathan's Seal,Ring,
2022-09-04,Chaos Sanctuary,Angelic Mantle,Ring Mail,
2022-09-04,Chaos Sanctuary,Axe of Fechmar,Large Axe,
2022-09-04,Chaos Sanctuary,Isenhart's Case,Breast Plate,
2022-09-04,Catacombs Level 4,Gleamscythe,Flachion,
2022-09-04,Arcane Sanctuary,Cathan's Seal,Ring,
2022-09-04,Tal Rasha's Chamber,Manald Heal,Ring,
2022-09-04,Chaos Sanctuary,Hellcast,Heavy Crossbow,Converted to Expansion
2022-09-04,Chaos Sanctuary,Sparking Mail,Chain Mail,
2022-09-04,Chaos Sanctuary,Arcanna's Head,Skull Cap,
2022-09-04,Chaos Sanctuary,Sigon's Gage,Gauntlets,
2022-09-04,Chaos Sanctuary,Isenhart's Horns,Full Helm,
2022-09-04,Chaos Sanctuary,Amn Rune,Rune,
2022-09-04,Chaos Sanctuary,Immortal King's Detail,War Belt,
2022-09-04,Chaos Sanctuary,Duskdeep,Full Helm,
2022-09-04,Chaos Sanctuary,Tal Rune,Rune,
2022-09-04,Chaos Sanctuary,Heart Carver,Rondel,
2022-09-04,Chaos Sanctuary,Hwanin's Justice,Bill,
2022-09-04,Chaos Sanctuary,Lum Rune,Rune,
2022-09-04,Chaos Sanctuary,Sander's Riprap,Heavy Boots,
2022-09-04,Chaos Sanctuary,Ith Rune,Rune,
2022-09-04,Chaos Sanctuary,Arctic Horn,Short War Bow,
2022-09-04,Chaos Sanctuary,Ort Rune,Rune,
2022-09-04,Chaos Sanctuary,Whitstan's Guard,Round Shield,
2022-09-04,Chaos Sanctuary,Goldwrap,Heavy Belt,
2022-09-04,Chaos Sanctuary,Amn Rune,Rune,
2022-09-04,Chaos Sanctuary,Berserker's Headgear,Helm,
2022-09-04,Chaos Sanctuary,Natalya's Soul,Mesh Boots,
2022-09-04,Chaos Sanctuary,Lum Rune,Rune,
2022-09-04,Chaos Sanctuary,Razorswitch,Io Staff,
2022-09-04,Chaos Sanctuary,Cleglaw's Pincers,Chain Gloves,
2022-09-04,Chaos Sanctuary,Tal Rune,Rune,
2022-09-04,Chaos Sanctuary,The Minotaur,Ancient Axe,
2022-09-04,Chaos Sanctuary,Nagelring,Ring,
2022-09-04,Chaos Sanctuary,Eth Rune,Rune,
2022-09-04,Chaos Sanctuary,Sigon's Guard,Tower Shield,
2022-09-04,Chaos Sanctuary,Soulflay,Claymore,
2022-09-05,Chaos Sanctuary,Darksight Helm,Basinet,
2022-09-05,Chaos Sanctuary,Natalya's Soul,Mesh Boots,
2022-09-05,Chaos Sanctuary,Tal Rune,Rune,
2022-09-05,Chaos Sanctuary,Athena's Wrath,Battle Scythe,
2022-09-05,Chaos Sanctuary,The Ward,Gothic Shield,
2022-09-05,Chaos Sanctuary,Amn Rune,Rune,
2022-09-05,Chaos Sanctuary,Sigon's Guard,Tower Shield,
2022-09-05,Chaos Sanctuary,The Iron Jang Bong,War Staff,
2022-09-05,Chaos Sanctuary,Hel Rune,Rune,
2022-09-05,Chaos Sanctuary,Manald Heal,Ring,
2022-09-05,Chaos Sanctuary,Ort Rune,Rune,
2022-09-05,Chaos Sanctuary,Langer Briser,Arbalest,
2022-09-05,Chaos Sanctuary,El Rune,Rune,
2022-09-05,Chaos Sanctuary,Goblin Toe,Light Plated Boots,
2022-09-05,Chaos Sanctuary,Tal Rune,Rune,
2022-09-05,Chaos Sanctuary,Isenhart's Parry,Gothic Shield,
2022-09-05,Chaos Sanctuary,Angelic Halo,Ring,
